alarm-light-anim: sheet=32x16, frames=2, alpha=(0, 255), gif=True
monitor-glow: sheet=96x48, frames=2, alpha=(0, 255), gif=True
nameplate-gemini: sheet=80x16, frames=1, alpha=(0, 255), gif=True
nameplate-ollama: sheet=80x16, frames=1, alpha=(0, 255), gif=True
nameplate-openai: sheet=80x16, frames=1, alpha=(0, 255), gif=True
neon-sign-anim: sheet=256x32, frames=2, alpha=(0, 255), gif=True
quest-board-bg: sheet=192x256, frames=1, alpha=(0, 255), gif=True
recent-task-item-bg: sheet=200x18, frames=1, alpha=(0, 255), gif=True
recent-task-status-badges: sheet=144x14, frames=3, alpha=(0, 255), gif=True
recent-tasks-panel-bg: sheet=224x128, frames=1, alpha=(0, 255), gif=True
smoke-anim: sheet=128x32, frames=4, alpha=(0, 255), gif=True
spark-anim: sheet=128x32, frames=4, alpha=(0, 255), gif=True
studio-room-bg: sheet=800x600, frames=1, alpha=(0, 255), gif=True
studio-status-panel-bg: sheet=224x128, frames=1, alpha=(0, 255), gif=True
sweat-anim: sheet=24x12, frames=3, alpha=(0, 255), gif=True
torch-anim: sheet=64x24, frames=4, alpha=(0, 255), gif=True
worker-gemini-busy: sheet=192x96, frames=3, alpha=(0, 255), gif=True
worker-gemini-idle: sheet=128x96, frames=2, alpha=(0, 255), gif=True
worker-gemini-overloaded: sheet=256x96, frames=4, alpha=(0, 255), gif=True
worker-gemini-working: sheet=192x96, frames=3, alpha=(0, 255), gif=True
worker-ollama-busy: sheet=192x96, frames=3, alpha=(0, 255), gif=True
worker-ollama-idle: sheet=128x96, frames=2, alpha=(0, 255), gif=True
worker-ollama-overloaded: sheet=256x96, frames=4, alpha=(0, 255), gif=True
worker-ollama-working: sheet=192x96, frames=3, alpha=(0, 255), gif=True
worker-openai-busy: sheet=192x96, frames=3, alpha=(0, 255), gif=True
worker-openai-idle: sheet=128x96, frames=2, alpha=(0, 255), gif=True
worker-openai-overloaded: sheet=256x96, frames=4, alpha=(0, 255), gif=True
worker-openai-working: sheet=192x96, frames=3, alpha=(0, 255), gif=True
